id,loc,cnty,lon,lat,elev
1006,prestwick-no-2,ayrshire,-4.584,55.501,16
1007,prestwick-gannet,ayrshire,-4.585,55.515,27
1008,dalry,ayrshire,-4.719,55.718,33
1012,cumnock,ayrshire,-4.274,55.453,99
1013,saughall,ayrshire,-4.226,55.601,221
1015,dumfries-drungans,kirkcudbrightshire,-3.645,55.054,16
1017,dumfries,dumfriesshire,-3.595,55.056,49
1023,eskdalemuir,dumfriesshire,-3.207,55.312,236
1024,bargrennan,kirkcudbrightshire,-4.569,55.077,110
1025,palnure-no-2,kirkcudbrightshire,-4.419,54.952,15
1026,clatteringshaws-no-2,kirkcudbrightshire,-4.266,55.075,178
1033,dundrennan,kirkcudbrightshire,-4.008,54.803,113
1034,glenlochar-barrage,kirkcudbrightshire,-3.982,54.96,47
1039,west-freugh,wigtownshire,-4.935,54.859,11
1040,penwhirn,wigtownshire,-4.929,54.983,166
1042,creebridge,wigtownshire,-4.475,54.96,18
1043,whithorn,wigtownshire,-4.418,54.703,40
1051,sellafield,cumbria,-3.501,54.415,13
1053,sellafield-no-2,cumbria,-3.507,54.426,22
1054,eskmeals,cumbria,-3.408,54.325,8
1055,st-bees-head-no-2,cumbria,-3.615,54.518,125
1060,keswick,cumbria,-3.157,54.614,88
1061,aspatria,cumbria,-3.316,54.768,62
1066,drumburgh,cumbria,-3.158,54.931,7
1070,carlisle,cumbria,-2.964,54.934,28
1074,warcop-range,cumbria,-2.413,54.572,227
1075,spadeadam,cumbria,-2.629,55.041,274
1076,spadeadam-no-2,cumbria,-2.554,55.05,285
1078,walney-island,cumbria,-3.258,54.125,15
1083,shap,cumbria,-2.685,54.502,263
1084,great-dun-fell,cumbria,-2.45,54.684,847
1085,great-dun-fell-no-2,cumbria,-2.451,54.684,847
1086,moor-house,cumbria,-2.377,54.69,556
1087,widdybank-fell,cumbria,-2.284,54.663,513
1090,blackpool-squires-gate,lancashire,-3.038,53.776,10
1093,aigburth-rtc,merseyside,-2.927,53.36,12
1095,southport,merseyside,-2.954,53.679,5
1096,aughton,lancashire,-2.916,53.55,54
1098,fleetwood,lancashire,-3.017,53.926,19
1100,grizedale,cumbria,-3.021,54.338,91
1101,speke,merseyside,-2.847,53.332,22
1105,hazelrigg,lancashire,-2.775,54.014,95
1111,preston-moor-park,lancashire,-2.705,53.774,33
1112,myerscough,lancashire,-2.767,53.854,14
1115,winter-hill,lancashire,-2.516,53.626,440
1119,stonyhurst,lancashire,-2.47,53.845,115
1120,manchester-weather-centre,greater-manchester,-2.244,53.483,69
1125,rochdale,greater-manchester,-2.179,53.609,110
1128,bidston,merseyside,-3.075,53.4,60
1130,ness-gardens,cheshire,-3.047,53.272,38
1131,delamere-forest-no-2,cheshire,-2.707,53.237,68
1135,ringway,greater-manchester,-2.281,53.356,69
1136,macclesfield,cheshire,-2.136,53.265,143
1137,rhyl-no-2,clwyd,-3.509,53.259,77
1142,moel-y-crio,clwyd,-3.209,53.22,263
1144,hawarden-airport,clwyd,-2.986,53.175,11
1145,valley,gwynedd,-4.536,53.253,10
1151,colwyn-bay-nursery-gardens,clwyd,-3.712,53.293,24
1154,loggerheads-colomendy-centre,clwyd,-3.197,53.149,225
1161,aberdaron,gwynedd,-4.741,52.789,86
1165,pen-y-ffridd,gwynedd,-4.155,53.21,86
1167,snowdon-summit,gwynedd,-4.077,53.068,1040
1170,aber-no-2,gwynedd,-4.015,53.238,15
1171,capel-curig-no-3,gwynedd,-3.941,53.094,216
1173,arthog-fegla-fach-farm,gwynedd,-4.015,52.718,7
1176,trawsfynydd,gwynedd,-3.943,52.932,193
1180,bala,gwynedd,-3.584,52.908,163
1185,machynlleth,powys-north,-3.843,52.622,76
1187,moel-cynnedd,powys-north,-3.705,52.475,358
1190,lake-vyrnwy-no-2,powys-north,-3.465,52.757,360
1192,newtown,powys-north,-3.34,52.5,120
1201,aberystwyth-frongoch,dyfed,-4.052,52.423,137
1205,gogerddan,dyfed,-4.02,52.432,31
1209,trawsgoed,dyfed,-3.948,52.344,63
1211,cwmystwyth,dyfed,-3.803,52.359,301
1214,dale-fort,dyfed,-5.152,51.703,33
1215,milford-haven-conservancy-board,dyfed,-5.053,51.709,44
1216,brawdy,dyfed,-5.124,51.88,111
1217,orielton,dyfed,-4.96,51.653,60
1223,whitechurch,dyfed,-4.679,51.989,129
1226,pembrey-sands,dyfed,-4.367,51.714,3
1233,bronydd-mawr,powys-south,-3.629,51.964,330
1239,cefn-llech,powys-south,-3.537,52.384,317
1246,presteigne,powys-south,-3.052,52.283,177
1249,libanus,powys-south,-3.489,51.924,331
1250,pencelli,powys-south,-3.324,51.913,160
1255,mumbles-head,west-glamorgan,-3.982,51.566,44
1258,port-talbot,west-glamorgan,-3.754,51.567,5
1265,aberdare,mid-glamorgan,-3.462,51.718,174
1267,rhoose,south-glamorgan,-3.344,51.401,65
1268,cilfynydd,mid-glamorgan,-3.302,51.636,194
1270,flat-holm,south-glamorgan,-3.123,51.379,15
1271,cardiff-weather-centre,south-glamorgan,-3.179,51.478,52
1275,tredegar-bryn-bach-park,gwent,-3.276,51.785,380
1276,tredegar-bryn-bach-park-no-2,gwent,-3.268,51.784,360
1285,liscombe,somerset,-3.609,51.087,348
1289,tivington,somerset,-3.531,51.201,83
1290,nettlecombe-birds-hill,somerset,-3.349,51.118,271
1293,cannington,somerset,-3.066,51.153,25
1294,hinkley-point,somerset,-3.194,51.2,20
1302,yeovilton,somerset,-2.643,51.006,20
1304,rodney-stoke,somerset,-2.734,51.248,40
1316,portland,dorset,-2.45,50.566,3
1319,isle-of-portland,dorset,-2.456,50.522,52
1322,winfrith,dorset,-2.256,50.682,26
1324,fontmell-magna,dorset,-2.185,50.951,90
1336,plymouth-mountbatten,devon,-4.121,50.355,50
1338,rumleigh,devon,-4.196,50.491,23
1340,tavistock-kilworthy-college,devon,-4.145,50.572,192
1344,north-hessary-tor,devon,-4.009,50.549,510
1345,okehampton-east-okement-farm,devon,-3.977,50.703,408
1346,chivenor,devon,-4.149,51.089,6
1350,princetown-prison,devon,-4.001,50.549,453
1352,north-wyke,devon,-3.904,50.769,177
1353,burrington-common-head,devon,-3.987,50.933,199
1356,salcombe-no-2,devon,-3.767,50.24,3
1357,brixham,devon,-3.51,50.397,8
1362,slapton,devon,-3.652,50.293,32
1363,strete,devon,-3.633,50.309,125
1366,bovey-tracey-yarner-wood-no-2,devon,-3.717,50.592,198
1367,berry-head,devon,-3.484,50.399,58
1369,torquay-abbey-park,devon,-3.541,50.465,15
1373,clyst-honiton,devon,-3.439,50.722,22
1378,exeter-airport,devon,-3.417,50.731,27
1380,rousdon-no-2,devon,-3,50.711,150
1382,hemyock,devon,-3.227,50.909,168
1383,dunkeswell-aerodrome,devon,-3.24,50.86,252
1385,scilly-st-marys,isles-of-scilly,-6.303,49.929,51
1386,scilly-st-marys-airport,isles-of-scilly,-6.296,49.915,31
1388,gwennap-head,cornwall,-5.681,50.037,66
1391,davidstow-moor,cornwall,-4.622,50.641,291
1393,culdrose,cornwall,-5.257,50.084,76
1395,camborne,cornwall,-5.328,50.218,87
1397,lizard,cornwall,-5.208,49.963,73
1398,lizard-lighthouse,cornwall,-5.202,49.959,55
1399,falmouth,cornwall,-5.078,50.152,51
1405,st-mawgan,cornwall,-4.998,50.439,103
1408,heligan,cornwall,-4.807,50.283,70
1411,delabole,cornwall,-4.725,50.619,201
